id,class,prefLabel(ko),type
설담이 다섯 승려의 배웅을 받아 떠남,Event,설담이 다섯 승려의 배웅을 받아 떠남,만남
설담이 두월 묵안을 만남,Event,설담이 두월 묵안을 만남,만남
설담이 하안거를 지냄_1,Event,설담이 하안거를 지냄_1,
설담이 낙파 회랭을 만남,Event,설담이 낙파 회랭을 만남,만남
설담이 벽월 우일을 만남,Event,설담이 벽월 우일을 만남,만남
설담이 두월 묵안과 경기전을 구경함,Event,설담이 두월 묵안과 경기전을 구경함,감상
설담이 우화루 관음상에 참배함,Event,설담이 우화루 관음상에 참배함,참배
설담이 도희와 대순을 만남,Event,설담이 도희와 대순을 만남,만남
설담이 금하 광훈에게 다과를 대접받음,Event,설담이 금하 광훈에게 다과를 대접받음,만남
설담이 춘파 상운의 배웅을 받아 떠남,Event,설담이 춘파 상운의 배웅을 받아 떠남,만남
설담이 세조 친필을 감상함,Event,설담이 세조 친필을 감상함,감상
설담이 종연을 만남,Event,설담이 종연을 만남,만남
설담이 성월 천일을 만남,Event,설담이 성월 천일을 만남,만남
설봉 회정의 다비식,Event,설봉 회정의 다비식,
설담이 하안거를 지냄_2,Event,설담이 하안거를 지냄_2,
설담이 맹명씨를 만남,Event,설담이 맹명씨를 만남,만남
설담이 서봉 명색을 만남,Event,설담이 서봉 명색을 만남,만남
설담이 반룡 처원과 차담을 나눔,Event,설담이 반룡 처원과 차담을 나눔,만남
설담이 사오로 화상을 구경함,Event,설담이 사오로 화상을 구경함,감상
설담이 채근을 만남,Event,설담이 채근을 만남,만남
설담이 청파 혜원과 긍현을 만남,Event,설담이 청파 혜원과 긍현을 만남,만남
설담이 박영의 집에 방문함,Event,설담이 박영의 집에 방문함,만남
설담이 피향정의 시를 감상함,Event,설담이 피향정의 시를 감상함,감상
설담이 김유옥과 그 문하를 방문함,Event,설담이 김유옥과 그 문하를 방문함,만남
설담이 한계 성순을 만남,Event,설담이 한계 성순을 만남,만남
흥파 지순의 죽음,Event,흥파 지순의 죽음,
설담이 경헌을 만남,Event,설담이 경헌을 만남,만남
설담이 명간을 만남,Event,설담이 명간을 만남,만남
설담이 서량을 만남,Event,설담이 서량을 만남,만남
설담이 황윤석을 만남,Event,설담이 황윤석을 만남,만남
설담이 백광훈의 이손(耳孫)을 만남,Event,설담이 백광훈의 이손(耳孫)을 만남,만남
설담이 이봉 희영과 시경을 만남,Event,설담이 이봉 희영과 시경을 만남,만남
"설담이 영천암, 약사암, 물외암 풍경을 감상함",Event,"설담이 영천암, 약사암, 물외암 풍경을 감상함",감상
설담이 소요대사 영정에 참배함,Event,설담이 소요대사 영정에 참배함,참배
설담이 쌍계루 현판을 감상함,Event,설담이 쌍계루 현판을 감상함,감상
설담이 소요대사 필적을 감상함,Event,설담이 소요대사 필적을 감상함,감상
설담이 환월 민숙을 만남,Event,설담이 환월 민숙을 만남,만남
설담이 이고를 위문함,Event,설담이 이고를 위문함,참배
불조원류 간행,Event,불조원류 간행,
장수경 간행,Event,장수경 간행,
휴암 최한이 법운암을 창건함,Event,휴암 최한이 법운암을 창건함,
서봉 청민이 내소사를 중건함,Event,서봉 청민이 내소사를 중건함,
내선과 여천 등 여덟 비구가 내소사 단청을 완성함,Event,내선과 여천 등 여덟 비구가 내소사 단청을 완성함,
내소사 화재,Event,내소사 화재,
설담 자우가 설봉 회정에게 수학함,Event,설담 자우가 설봉 회정에게 수학함,
