id,class,category,prefLabel(ko)
J17630827,Journey,,1763년 8월 27일 여정
J17630829,Journey,,1763년 8월 29일 여정
J17630830,Journey,,1763년 8월 30일 여정
J17630901,Journey,,1763년 9월 1일 여정
J17630902,Journey,,1763년 9월 2일 여정
J17630903,Journey,,1763년 9월 3일 여정
J17630904,Journey,,1763년 9월 4일 여정
J17630905,Journey,,1763년 9월 5일 여정
J17630906,Journey,,1763년 9월 6일 여정
J17630907,Journey,,1763년 9월 7일 여정
J17630909,Journey,,1763년 9월 9일 여정
J17630910,Journey,,1763년 9월 10일 여정
J17630911,Journey,,1763년 9월 11일 여정
J17630912,Journey,,1763년 9월 12일 여정
J17630913,Journey,,1763년 9월 13일 여정
J17630914,Journey,,1763년 9월 14일 여정
J17630915,Journey,,1763년 9월 15일 여정
J17630917,Journey,,1763년 9월 17일 여정
J17630918,Journey,,1763년 9월 19일 여정
J17630919,Journey,,1763년 9월 18일 여정
J17630920,Journey,,1763년 9월 20일 여정
J17630921,Journey,,1763년 9월 21일 여정
J17630922,Journey,,1763년 9월 22일 여정
J17630923,Journey,,1763년 9월 23일 여정
J17630924,Journey,,1763년 9월 24일 여정
J17630925,Journey,,1763년 9월 25일 여정
J17630926,Journey,,1763년 9월 26일 여정
J17630927,Journey,,1763년 9월 27일 여정
