id,class,category,prefLabel(ko),prefLabel(zh-hant),otherName,region,coord,existance,note
만일동,Place,,만일동,萬日洞,,전북 순창,"35.48602723763114, 127.11715230291917",부존,만일사로 위경도 비정
두곡,Place,,두곡,斗谷,,전북 정읍,"35.5784105943232, 127.07506524987",부존,
국사봉,Place,,국사봉,國師峯,,전북 완주,"35.7018637064177, 127.060393801062",현전,
지리산,Place,,지리산,智異山,,,,현존,
변산,Place,,변산,邊山,,전북 부안,,현존,
종남산,Place,,종남산,終南山,,전북 완주,"35.900728, 127.227650",현존,
무등산,Place,,무등산,無等山,,"광주, 전남 화순, 담양","35.12400292280711, 127.00679098614638",현존,무등산 인왕봉으로 위경도 비정
추줄산,Place,,추줄산,崷崪山,위봉산(威鳳山),전북 완주,"35.91532352068112, 127.25438712807451",현존,
운주산,Place,,운주산,雲住山,,전북 정읍,,현전,雲住山【在縣南三十里】(동국여지지)
회문산,Place,,회문산,回門山,,전북 임실,"35.5111162955301, 127.13341502867667",현존,
두승산,Place,,두승산,斗升山,,전북 정읍,"35.60655941464065, 126.79850891810977",현존,
완부시,Place,,완부시,完府,,전북 전주,"35.8129752915504, 127.147016144739",현전,
완부치첩,Place,,완부치첩,完府雉堞,,전북 전주,"35.8135198685177, 127.147575927874",현존,
전주 경기전,Place,,전주 경기전,慶基殿,,전북 전주,"35.8153467277887, 127.149759150779",현존,
완부 서문,Place,,완부 서문,完府西門,,전북 전주,"35.8159242211498, 127.141760044785",현전,
양정포,Place,,양정포,陽正浦,양정포(良正浦),전북 완주,"35.895617788573, 127.100263206354",부존,
옥포역,Place,,옥포역,玉浦驛,,전북 완주,"36.0235839668617, 127.228316572101",현전,現 옥포경로당으로 위경도 비정
구좌리,Place,,구좌리,狗坐里,,,"36.0387302460591, 127.27302580618",부존,現 구재마을경로당으로 위치 비정
마정령,Place,,마정령,馬亭嶺,,,,부존,
마천대,Place,,마천대,摩天臺,,전북 완주,"36.124722028493, 127.320411824604",현존,
만경대,Place,,만경대,萬景臺,,,,부존,
진산읍,Place,,진산읍,珍山邑,,충남 군산,"36.143549539038, 127.367810330577",부존,現 진산초등학교로 위경도 비정
천등산,Place,,천등산,千燈山,,전북 완주,"36.0854973916505, 127.308997028685",현존,
선운산,Place,,선운산,禪雲山,,전북 고창,"35.498667138833014, 126.56897944319411",현존,
소요산,Place,,소요산,逍遙山,,전북 고창,"35.52438030782509, 126.61395641028632",현존,
백양산,Place,,백양산,白羊山,백암산(白巖山),"전남 장성, 전북 순창","35.4614742800648, 126.86853979791023",현존,
부풍현,Place,,부풍현,扶風縣,,전북 김제,,현전,
칠룡묘,Place,,칠룡묘,七龍墓,용자칠총(龍子七塚),전북 김제,"35.817517, 126.940286",현존,
월출산,Place,,월출산,月出山,,"전남 영암, 강진","34.773767, 126.710113",현존,
승달산,Place,,승달산,僧達山,,전남 무안군,"34.908730, 126.456966",현존,
금강연,Place,,금강연,金剛淵,,,,부존,
위봉성 동문,Place,,위봉성 동문,威鳳城東門,,전북 완주,"35.9096428523481, 127.261990800078",부존,現 위봉폭포 부근
삼천,Place,,삼천,三川,,전북 완주,"35.7853765700741, 127.109913596158",현전,現 삼천교
시산,Place,,시산,詩山,,전북 태인,"35.6537248095785, 126.946105294939",부존,정읍 태인면의 古地名
피향정,Place,,피향정,披香亭,,전북 정읍,"35.6513552362426, 126.942968045188",현존,
고부 마항리,Place,,고부 마항리,古阜馬項里,,전북 정읍,"35.6646604129741, 126.838583815996",현전,現 말목장터
청림촌,Place,,청림촌,靑林村,,전북 부안,"35.6660088061697, 126.616105919257",부존,現 청림마을회관
사자항,Place,,사자항,獅子項,,전북 부안,"35.648212363488, 126.576249337872",현전,
삼폭포,Place,,삼폭포,三瀑布,,전북 부안,"35.6427057446783, 126.56492800963",현전,
직연폭포,Place,,직연폭포,直淵瀑布,직소폭포(直沼瀑布),전북 부안,"35.6044398936682, 126.612559691662",현존,
검진,Place,,검진,黔津,,전북 부안,"35.6264306381175, 126.569881643545",부존,現 진서마을회관으로 위경도 비정.
구수골,Place,,구수골,龜壽洞,,전북 고창,"35.5603251089057, 126.755207816345",현전,現 황윤석선생생가
개심령,Place,,개심령,開心嶺,,,,부존,
내장산,Place,,내장산,內藏山,,전북 순창,"35.4868733445961, 126.88169488057",현존,까치봉으로 위경도 비정
하서 선생 수장,Place,,하서 선생 수장,河西先生壽藏,,전남 장성,"35.3059821844246, 126.729572354148",현존,
자포곡,Place,,자포곡,茨蒲谷,,전북 순창,"35.4518166151683, 126.907284969599",부존,現 자포마을회관으로 위경도 비정
백양산 청류동,Place,,백양산 청류동,白羊山淸流洞,,전남 장성,"35.4386855290582, 126.870519345056",부존,2차지형도(1:50000) 약수정樂水亭 참조
칠립리,Place,,칠립리,柒笠里,,전북 순창,"35.4229776030231, 126.908471457673",현전,
천치,Place,,천치,天峙,,전남 담양,"35.4339133442096, 126.99012980153",부존,
온계,Place,,온계,温磎,,,,부존,
불사의방,Place,,불사의방,不思議房,,전북 부안,"35.673898, 126.598912",현전,변산 의상봉 위경도로 기입
변산 의상봉,Place,,변산 의상봉,義湘峯,,전북 부안,"35.673898, 126.598912",현존,
각궁시,Place,,각궁시,却弓矢,,,,부존,
