id,class,prefLabel(ko)
1482년,Time,1482년
1764년,Time,1764년
1768년,Time,1768년
1743년,Time,1743년
1744년,Time,1744년
1780년,Time,1780년
1736년,Time,1736년
1738년,Time,1738년
1763년,Time,1763년
1763년 8월,Time,1763년 8월
1763년 9월,Time,1763년 9월
1763년 8월 27일,Time,1763년 8월 27일
1763년 8월 28일,Time,1763년 8월 28일
1763년 8월 29일,Time,1763년 8월 29일
1763년 8월 30일,Time,1763년 8월 30일
1763년 9월 1일,Time,1763년 9월 1일
1763년 9월 2일,Time,1763년 9월 2일
1763년 9월 3일,Time,1763년 9월 3일
1763년 9월 4일,Time,1763년 9월 4일
1763년 9월 5일,Time,1763년 9월 5일
1763년 9월 6일,Time,1763년 9월 6일
1763년 9월 7일,Time,1763년 9월 7일
1763년 9월 8일,Time,1763년 9월 8일
1763년 9월 9일,Time,1763년 9월 9일
1763년 9월 10일,Time,1763년 9월 10일
1763년 9월 11일,Time,1763년 9월 11일
1763년 9월 12일,Time,1763년 9월 12일
1763년 9월 13일,Time,1763년 9월 13일
1763년 9월 14일,Time,1763년 9월 14일
1763년 9월 15일,Time,1763년 9월 15일
1763년 9월 16일,Time,1763년 9월 16일
1763년 9월 17일,Time,1763년 9월 17일
1763년 9월 18일,Time,1763년 9월 18일
1763년 9월 19일,Time,1763년 9월 19일
1763년 9월 20일,Time,1763년 9월 20일
1763년 9월 21일,Time,1763년 9월 21일
1763년 9월 22일,Time,1763년 9월 22일
1763년 9월 23일,Time,1763년 9월 23일
1763년 9월 24일,Time,1763년 9월 24일
1763년 9월 25일,Time,1763년 9월 25일
1763년 9월 26일,Time,1763년 9월 26일
1763년 9월 27일,Time,1763년 9월 27일
1784년,Time,1784년
1773년,Time,1773년
1773년 8월,Time,1773년 8월
1770년 9월,Time,1770년 9월
1770년,Time,1770년
